OBJECTNUMMER;Locatie;Artikelen;SELECTIE;FILTER_DAG;Maandag;Dinsdag;Woensdag;Donderdag;Vrijdag;Zaterdag;Zondag;Dagen;Gemeente;Foto;Website;Meer_informatie;Plattegrond;Openstaande_plaatsen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
8;Waterlooplein;Kunst / Antiek en curiosa;KUNSTANTIEK;Ma|Di|Wo|Do|Vr|Za|;09.00-17.00 uur;09.00-17.00 uur;09.00-17.00 uur;09.00-17.00 uur;09.00-17.00 uur;09.00-17.00 uur;;Di - Do - Ma - Vr - Wo - Za;Ja;;;;Waterlooplein COVID plattegrond.pdf;;POINT(4.9017482 52.3683624);POINT(52.3683624 4.9017482);49.017.482;523.683.624
9;Albert Cuypmarkt;Algemene waren;ALGEMEEN;Ma|Di|Wo|Do|Vr|Za;10.00-17.00 uur ;10.00-17.00 uur;10.00-17.00 uur;10.00-17.00 uur;10.00-17.00 uur;10.00-17.00 uur;;Ma - Di - Wo - Do - Vr - Za;Ja;fruitstala.cuypmarktmaart2007.jpg;www.albertcuypmarkt.nl;;;;POINT(4.8908691 52.3550148);POINT(52.3550148 4.8908691);48.908.691;523.550.148
10;Bos en Lommerplein;Algemene waren;ALGEMEEN;Di|Wo|Do|Vr|Za;;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;;Di - Wo - Do - Vr - Za;Ja;boslommerplein_004_29mei2007_e_v_eis.jpg;;;;;POINT(4.8457112 52.3784904);POINT(52.3784904 4.8457112);48.457.112;523.784.904
11;Buikslotermeerplein;Algemene waren;ALGEMEEN;Ma|Di|Wo|Do|Vr|Za|;12.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;;Di - Do - Ma - Vr - Wo - Za;Ja;;;;Plattegrond Buikslotermeerplein.pdf;;POINT(4.9364452 52.3986168);POINT(52.3986168 4.9364452);49.364.452;523.986.168
12;Dappermarkt;Algemene waren;ALGEMEEN;Ma|Di|Wo|Do|Vr|Za;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;9.00-18.00 uur;;Di - Do - Ma - Vr - Wo - Za;Ja;dappermarkt003-28mrt2007_e_v_eis.jpg;;www.dappermarkt.nl;;;POINT(4.9277439 52.3622246);POINT(52.3622246 4.9277439);49.277.439;523.622.246
13;Anton de Komplein;Algemene waren;ALGEMEEN;Ma|Do|Vr;9.00-18.00 uur;;;9.00-18.00 uur;9.00-18.00 uur;;;Do - Ma - Vr;Ja;BC-de Kompleinmarkt16-06-14.2.jpg;;;;;POINT(4.956486 52.315426);POINT(52.315426 4.956486);4.956.486;52.315.426
14;Kraaiennest;Algemene waren;ALGEMEEN;Di;;9.00-18.00 uur;;;;;;Di;Ja;;;;;;POINT(4.9790383 52.3167174);POINT(52.3167174 4.9790383);49.790.383;523.167.174
16;Nieuwmarkt;Algemene waren;ALGEMEEN;Ma|Di|Wo|Do|Vr|Za;09.00-18.00 uur;09.00-18.00 uur;09.00-18.00 uur;09.00-18.00 uur;09.00-18.00 uur;09.00-18.00 uur;;Ma - Di - Wo - Do - Vr - Za;Ja;warenmarkt nieuwmarkt_18mrt2013_e_v_eis.jpg;;;;;POINT(4.900321 52.3725624);POINT(52.3725624 4.900321);4.900.321;523.725.624
18;Amstelveld;Bloemen en planten;BLOEMEN;Ma|;09.00-18.00 uur;;;;;;;Ma;Ja;;;;2020 Plattegrond wordt Amstelveld.pdf;;POINT(4.8975739 52.362381);POINT(52.362381 4.8975739);48.975.739;52.362.381
19;Ganzenhoef;Algemene waren;ALGEMEEN;Za;;;;;;9.00-18.00 uur;;Za;Ja;;;;;;POINT(4.9698755 52.322102);POINT(52.322102 4.9698755);49.698.755;52.322.102
